"film_id","title","name","rental_year","rental_month","count_rentals","row_num"
450,"Idols Snatchers","Children","2005","05","5","1"
735,"Robbers Joon","Children","2005","05","5","2"
86,"Boogie Amelie","Music","2005","05","4","3"
891,"Timberland Sky","Classics","2005","06","7","1"
239,"Dogma Family","Animation","2005","06","6","2"
330,"Forrester Comancheros","Animation","2005","06","6","3"
767,"Scalawag Duck","Music","2005","07","16","1"
378,"Greatest North","Music","2005","07","15","2"
468,"Invasion Cyclone","Children","2005","07","14","3"
231,"Dinosaur Secretary","Family","2005","08","13","1"
244,"Dorado Notting","Music","2005","08","13","2"
37,"Arizona Bang","Classics","2005","08","12","3"
